"catchments" "value"
"362618" 362673
"362621" 362671
"362628" 362474
"362639" 362635
"362641" 362825
"362642" 362487
"362643" 360449
"362645" 362399
"362646" 361847
"362651" 362760
"362652" 362474
"362658" 362399
"362665" 362158
"362672" 362399
"362673" 362753
"362676" 361722
"362677" 362606
"362687" 362744
"362688" 362474
"362690" 362602
"362691" 362697
"362699" 362736
"362708" 362158
"362710" 361533
"362712" 362741
"362713" 362728
"362715" 362487
"362716" 362486
"362721" 361533
"362727" 361722
"362728" 362729
"362729" 362778
"362731" 362602
"362733" 362477
"362734" 362777
"362735" 362734
"362736" 362809
"362738" 362728
"362741" 362790
"362742" 362606
"362744" 362866
"362753" 362821
"362755" 362635
"362756" 361847
"362759" 362898
"362761" 362691
"362764" 362828
"362770" 362691
"362776" 362651
"362778" 362782
"362782" 362856
"362784" 362778
"362790" 362805
"362795" 362832
"362796" 362477
"362799" 362786
"362801" 361026
"362809" 362923
"362811" 362477
"362816" 361533
"362819" 362795
"362821" 362960
"362825" 362881
"362826" 362872
"362833" 360449
"362838" 362651
"362840" 362884
"362851" 362818
"362852" 362926
"362855" 362651
"362856" 362882
"362869" 360449
"362870" 362795
"362874" 362836
"362876" 362158
"362879" 361533
"362881" 362972
"362882" 362983
"362888" 362651
"362893" 362602
"362894" 362477
"362898" 363061
"362906" 362158
"362908" 361533
"362912" 362882
"362916" 361533
"362918" 361026
"362923" 362970
"362928" 362795
"362933" 362942
"362945" 361533
"362949" 361533
"362960" 363001
"362967" 362795
"362972" 363099
"362980" 362957
"362983" 363050
"362984" 362986
"362985" 361533
"362990" 362942
"362991" 362477
"363004" 362969
"363021" 362976
"363027" 361533
"363030" 363001
"363032" 362973
"363045" 362979
"363047" 362975
"363048" 361026
"363050" 363055
"363055" 363092
"363059" 363063
"363061" 363077
"363062" 363044
"363063" 363085
"363065" 362976
"363067" 362158
"363070" 363044
"363071" 362845
"363072" 363004
"363075" 363155
"363077" 363133
"363079" 362979
"363083" 361533
"363092" 363228
"363099" 363156
"363100" 363099
"363104" 363005
"363105" 363090
"363109" 363108
"363112" 361533
"363115" 363059
"363117" 361533
"363120" 361533
"363122" 363119
"363127" 363170
"363128" 363004
"363129" 362974
"363133" 363338
"363139" 363187
"363141" 362845
"363142" 363246
"363145" 361026
"363151" 363201
"363155" 363171
"363156" 363204
"363162" 363179
"363166" 363301
"363174" 363255
"363175" 363005
"363187" 363205
"363189" 363186
"363191" 361026
"363195" 363225
"363201" 363135
"363203" 363186
"363204" 363269
"363210" 363059
"363220" 363205
"363221" 363173
"363225" 363487
"363228" 363320
"363230" 363162
"363234" 363296
"363235" 362158
"363238" 363004
"363239" 363186
"363243" 363376
"363248" 362957
"363250" 363005
"363263" 363044
"363264" 363059
"363269" 363445
"363272" 363174
"363275" 363236
"363278" 363310
"363281" 362845
"363285" 363379
"363288" 363090
"363289" 363090
"363291" 363173
"363292" 361026
"363293" 363655
"363296" 363776
"363298" 363308
"363304" 363246
"363306" 363275
"363308" 363309
"363311" 363312
"363312" 363428
"363315" 363196
"363317" 363301
"363320" 363391
"363327" 363328
"363338" 363511
"363343" 363244
"363365" 363004
"363370" 363275
"363372" 363301
"363374" 362845
"363385" 363090
"363387" 363301
"363388" 363301
"363390" 363275
"363391" 363484
"363392" 363409
"363394" 363090
"363395" 363458
"363397" 363162
"363401" 363275
"363411" 363275
"363413" 361026
"363416" 363244
"363417" 363301
"363422" 362158
"363436" 363004
"363437" 363393
"363443" 363439
"363445" 363465
"363449" 361026
"363451" 363412
"363452" 363371
"363456" 363777
"363458" 363488
"363461" 363460
"363465" 363567
"363476" 363173
"363482" 363582
"363484" 363550
"363487" 363506
"363495" 363004
"363499" 363244
"363506" 363682
"363509" 363478
"363510" 363580
"363517" 363573
"363531" 363301
"363533" 363173
"363547" 363740
"363548" 363518
"363550" 363578
"363551" 363429
"363555" 363371
"363559" 363568
"363566" 363480
"363567" 363688
"363568" 363577
"363571" 363572
"363572" 363596
"363573" 363489
"363574" 361026
"363576" 363569
"363577" 363600
"363578" 363661
"363580" 363699
"363588" 363550
"363589" 363471
"363592" 362158
"363600" 363626
"363612" 363550
"363618" 362158
"363622" 363623
"363626" 363627
"363627" 363712
"363635" 363550
"363641" 363636
"363647" 363460
"363649" 363694
"363660" 363550
"363661" 363678
"363678" 363708
"363679" 363550
"363682" 363762
"363684" 363615
"363687" 363676
"363688" 363707
"363689" 363550
"363696" 363371
"363698" 363759
"363700" 363699
"363705" 363817
"363707" 363714
"363708" 363719
"363709" 363801
"363712" 363767
"363714" 363841
"363719" 363732
"363732" 363798
"363737" 363643
"363740" 363935
"363748" 363853
"363750" 363765
"363758" 363867
"363759" 363915
"363761" 363550
"363762" 363938
"363764" 363693
"363765" 363965
"363766" 363550
"363767" 363940
"363769" 363767
"363770" 363740
"363773" 362158
"363775" 363767
"363776" 363872
"363777" 364014
"363785" 363709
"363793" 363750
"363796" 362158
"363798" 363852
"363799" 363690
"363808" 363891
"363814" 363850
"363820" 363825
"363821" 363865
"363824" 363966
"363827" 363550
"363828" 361026
"363830" 363818
"363835" 363750
"363840" 363740
"363841" 363974
"363850" 363970
"363851" 363550
"363852" 363976
"363856" 363550
"363862" 363550
"363864" 364034
"363872" 363943
"363876" 363951
"363887" 363894
"363891" 363925
"363893" 363699
"363905" 364484
"363910" 363879
"363915" 364067
"363925" 364060
"363930" 363955
"363936" 363989
"363938" 364028
"363940" 364021
"363941" 364029
"363943" 364008
"363947" 363964
"363950" 364011
"363951" 364001
"363955" 364046
"363959" 363895
"363965" 364124
"363966" 364096
"363970" 364022
"363971" 364100
"363974" 364092
"363976" 364065
"363981" 363982
"364000" 363973
"364001" 364033
"364004" 364001
"364014" 364103
"364018" 364017
"364021" 364078
"364028" 364114
"364030" 364059
"364032" 364200
"364033" 364036
"364034" 364117
"364036" 364167
"364039" 364001
"364043" 364056
"364046" 364066
"364051" 364046
"364058" 364216
"364060" 364203
"364065" 364134
"364066" 364184
"364078" 364123
"364080" 364060
"364086" 364143
"364092" 364254
"364095" 364066
"364096" 364300
"364101" 364015
"364103" 364265
"364106" 364032
"364107" 364147
"364111" 364135
"364114" 364146
"364117" 364162
"364118" 364096
"364123" 364240
"364124" 364327
"364134" 364272
"364135" 364125
"364142" 364144
"364144" 364182
"364146" 364244
"364148" 364432
"364156" 364117
"364167" 364225
"364168" 364175
